Metric,SPY,Strategy
Risk-Free Rate,5.22%,5.22%
Time in Market,100.0%,100.0%
,,
Total Return,2%,0%
CAGR% (Annual Return),4919.41%,26.32%
,,
Sharpe,23.39,16.79
RoMaD,-,-
Corr to Benchmark,1.0,-0.48
Prob. Sharpe Ratio,-,-
Smart Sharpe,13.51,9.69
Sortino,-,-
Smart Sortino,-,-
Sortino/√2,-,-
Smart Sortino/√2,-,-
Omega,-,-
,,
Max Drawdown,%,%
Longest DD Days,-,-
Volatility (ann.),11.0%,0.62%
R^2,0.23,0.23
Information Ratio,-1.14,-1.14
Calmar,-,-
Skew,1.62,1.58
Kurtosis,-,-
,,
Expected Daily%,0.72%,0.04%
Expected Monthly%,2.17%,0.13%
Expected Yearly%,2.17%,0.13%
Daily Value-at-Risk,-0.23%,-0.01%
Expected Shortfall (cVaR),-0.23%,-0.01%
,,
MTD,2.17%,0.13%
3M,2.17%,0.13%
6M,2.17%,0.13%
YTD,2.17%,0.13%
1Y,2.17%,0.13%
3Y (ann.),4919.41%,26.32%
5Y (ann.),4919.41%,26.32%
10Y (ann.),4919.41%,26.32%
All-time (ann.),4919.41%,26.32%
,,
Best Day,1.38%,0.08%
Worst Day,0.32%,0.02%
Best Month,2.17%,0.13%
Worst Month,2.17%,0.13%
Best Year,2.17%,0.13%
Worst Year,2.17%,0.13%
,,
Recovery Factor,-,-
Ulcer Index,0.0,0.0
Serenity Index,-,-
,,
Avg. Up Month,2.17%,0.13%
Avg. Down Month,-,-
Win Days,3.0,3.0
Loss Days,0.0,0.0
Win Days%,100.0%,100.0%
Win Month%,100.0%,100.0%
Win Quarter%,100.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.03
Alpha,-,0.23
Correlation,-,-48.01%
Treynor Ratio,-,186.96%
Avg. Drawdown Days,-,-
