Metric,SPY,Strategy
Risk-Free Rate,5.19%,5.19%
Time in Market,69.0%,67.0%
,,
Total Return,29%,-14%
CAGR% (Annual Return),42.84%,-19.79%
,,
Sharpe,2.95,-2.73
RoMaD,8.0,-1.3
Corr to Benchmark,1.0,-0.1
Prob. Sharpe Ratio,98.1%,0.12%
Smart Sharpe,2.85,-2.63
Sortino,4.85,-3.09
Smart Sortino,4.67,-2.98
Sortino/√2,3.43,-2.19
Smart Sortino/√2,3.3,-2.11
Omega,0.53,0.53
,,
Max Drawdown,-5.35%,-15.28%
Longest DD Days,47,258
Volatility (ann.),10.5%,9.72%
R^2,0.01,0.01
Information Ratio,-0.2,-0.2
Calmar,8.0,-1.3
Skew,0.12,-2.2
Kurtosis,1.85,13.42
,,
Expected Daily%,0.1%,-0.06%
Expected Monthly%,2.85%,-1.72%
Expected Yearly%,13.48%,-7.52%
Daily Value-at-Risk,-0.81%,-0.9%
Expected Shortfall (cVaR),-0.81%,-0.9%
,,
MTD,0.67%,-1.08%
3M,10.26%,-1.64%
6M,15.95%,-10.28%
YTD,16.9%,-11.74%
1Y,28.79%,-14.48%
3Y (ann.),42.84%,-19.79%
5Y (ann.),42.84%,-19.79%
10Y (ann.),42.84%,-19.79%
All-time (ann.),42.84%,-19.79%
,,
Best Day,2.07%,2.24%
Worst Day,-1.63%,-3.36%
Best Month,5.95%,2.36%
Worst Month,-3.86%,-9.07%
Best Year,16.9%,-3.11%
Worst Year,10.17%,-11.74%
,,
Avg. Drawdown,-1.04%,-15.28%
Avg. Drawdown Days,7,258
Recovery Factor,4.8,1.0
Ulcer Index,0.01,0.11
Serenity Index,3.83,-0.05
,,
Avg. Up Month,3.54%,1.21%
Avg. Down Month,-3.86%,-1.0%
Win Days,160.11,120.23
Loss Days,99.89,139.77
Win Days%,61.58%,46.24%
Win Month%,88.89%,22.22%
Win Quarter%,100.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,-0.09
Alpha,-,-0.18
Correlation,-,-10.08%
Treynor Ratio,-,210.78%
