Metric,SPY,Strategy
Risk-Free Rate,5.21%,5.21%
Time in Market,68.0%,68.0%
,,
Total Return,11%,-6%
CAGR% (Annual Return),92.77%,-30.88%
,,
Sharpe,6.16,-6.67
RoMaD,66.94,-6.3
Corr to Benchmark,1.0,-0.39
Prob. Sharpe Ratio,99.38%,0.0%
Smart Sharpe,5.02,-5.44
Sortino,13.17,-6.41
Smart Sortino,10.75,-5.23
Sortino/√2,9.31,-4.53
Smart Sortino/√2,7.6,-3.7
Omega,0.12,0.12
,,
Max Drawdown,-1.39%,-4.9%
Longest DD Days,5,56
Volatility (ann.),9.74%,6.18%
R^2,0.15,0.15
Information Ratio,-0.39,-0.39
Calmar,66.94,-6.3
Skew,0.79,-4.49
Kurtosis,3.67,24.98
,,
Expected Daily%,0.18%,-0.1%
Expected Monthly%,5.26%,-2.84%
Expected Yearly%,10.79%,-5.61%
Daily Value-at-Risk,-0.66%,-0.63%
Expected Shortfall (cVaR),-0.66%,-0.63%
,,
MTD,4.57%,-1.51%
3M,10.79%,-5.61%
6M,10.79%,-5.61%
YTD,10.79%,-5.61%
1Y,10.79%,-5.61%
3Y (ann.),92.77%,-30.88%
5Y (ann.),92.77%,-30.88%
10Y (ann.),92.77%,-30.88%
All-time (ann.),92.77%,-30.88%
,,
Best Day,1.94%,0.29%
Worst Day,-1.39%,-2.07%
Best Month,5.95%,-1.51%
Worst Month,4.57%,-4.16%
Best Year,10.79%,-5.61%
Worst Year,10.79%,-5.61%
,,
Avg. Drawdown,-0.51%,-4.9%
Avg. Drawdown Days,3,56
Recovery Factor,7.46,1.17
Ulcer Index,0.0,0.03
Serenity Index,15.48,-0.18
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,41.64,22.31
Loss Days,16.36,35.69
Win Days%,71.79%,38.46%
Win Month%,100.0%,0.0%
Win Quarter%,100.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,-0.25
Alpha,-,-0.2
Correlation,-,-38.85%
Treynor Ratio,-,43.89%
