Metric,SPY,Strategy
Risk-Free Rate,5.15%,5.15%
Time in Market,69.0%,39.0%
,,
Total Return,80%,472%
CAGR% (Annual Return),14.06%,47.6%
,,
Sharpe,0.48,0.87
RoMaD,0.42,0.81
Corr to Benchmark,1.0,-0.27
Prob. Sharpe Ratio,28.86%,48.32%
Smart Sharpe,0.46,0.83
Sortino,0.67,1.53
Smart Sortino,0.64,1.45
Sortino/√2,0.48,1.08
Smart Sortino/√2,0.45,1.03
Omega,1.33,1.33
,,
Max Drawdown,-33.68%,-58.48%
Longest DD Days,708,775
Volatility (ann.),21.65%,55.67%
R^2,0.07,0.07
Information Ratio,0.03,0.03
Calmar,0.42,0.81
Skew,-0.59,3.28
Kurtosis,17.48,50.75
,,
Expected Daily%,0.04%,0.11%
Expected Monthly%,1.1%,3.28%
Expected Yearly%,12.51%,41.74%
Daily Value-at-Risk,-1.82%,-4.65%
Expected Shortfall (cVaR),-1.82%,-4.65%
,,
MTD,-0.17%,0.23%
3M,7.47%,0.07%
6M,12.42%,10.85%
YTD,15.93%,40.65%
1Y,21.22%,63.41%
3Y (ann.),8.71%,53.52%
5Y (ann.),14.06%,47.6%
10Y (ann.),14.06%,47.6%
All-time (ann.),14.06%,47.6%
,,
Best Day,9.06%,37.45%
Worst Day,-10.94%,-26.38%
Best Month,12.7%,87.54%
Worst Month,-12.44%,-44.82%
Best Year,28.77%,130.84%
Worst Year,-18.16%,-2.5%
,,
Avg. Drawdown,-1.99%,-12.08%
Avg. Drawdown Days,19,64
Recovery Factor,2.06,4.12
Ulcer Index,0.1,0.24
Serenity Index,0.4,0.72
,,
Avg. Up Month,4.16%,12.04%
Avg. Down Month,-4.6%,-2.02%
Win Days,888.53,805.1
Loss Days,747.47,830.9
Win Days%,54.31%,49.21%
Win Month%,64.81%,52.27%
Win Quarter%,68.42%,47.06%
Win Year%,80.0%,80.0%
,,
Beta,-,-0.68
Alpha,-,0.64
Correlation,-,-26.53%
Treynor Ratio,-,-684.41%
