time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,072daea9e91143398a7bd72cfd548938,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,072daea9e91143398a7bd72cfd548938,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,6f50bb9f256541629e8cc4824442f0eb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,6f50bb9f256541629e8cc4824442f0eb,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,018136a1a2e5414a86a0010993879403,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,018136a1a2e5414a86a0010993879403,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,557717ce0290484c964922a720c2ebd3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,557717ce0290484c964922a720c2ebd3,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,ae6a1d63f5514364915bacbbad94de34,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,ae6a1d63f5514364915bacbbad94de34,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,890.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,3c0084ab440f43a4800feb7206e56df3,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,166396702d2f4fb7b6edde5c8769f14d,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,39ddd946312a4a778f1874333c5ce1ea,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,195646ab4616437a94c837718f2e15e5,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,ad6e787e429d491686e9950dfecb97ad,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,e874c02f707b4c3993c5adcb1c60c309,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,335.0,0.0
2020-03-17 09:30:00-04:00,MLTrader,f8068463af11425288b999e8531e492c,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-17 09:30:00-04:00,MLTrader,4ddbe9daf275432b9f39abc80c17a007,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,576.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,7ca7c73d26044cc9864388bf681fcb86,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,7ca7c73d26044cc9864388bf681fcb86,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,785.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,6e5b36c21f594151bc16c88e1480ab17,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,c8a0313f1d1b47d98bb1e4cc9028877d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,ce99784701bf416693fce8b1f6b30508,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,5ec3c39c0f9a409b8f4daf2ae56d6faa,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,996f4fb817554135b098c08847dc7ab8,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,a3ff1a2906e643749efe131b6bb1f40c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,996f4fb817554135b098c08847dc7ab8,SPY,buy,market,fill,1,day,0.0,1,stock,291.0199890136719,1675.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,a3ff1a2906e643749efe131b6bb1f40c,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,1137.0,0.0
2020-05-13 09:30:00-04:00,MLTrader,b701c31cb3c3469bb151028350b826a7,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 09:30:00-04:00,MLTrader,b79c8709ae7244aa986159d09b0c0fac,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,1137.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,8f2a0567ddc24be593750f790331b7f4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,8f2a0567ddc24be593750f790331b7f4,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,250.0,0.0
2020-06-22 09:30:00-04:00,MLTrader,8f5e2e9a56024fe2801883199475a9e8,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTrader,8f5e2e9a56024fe2801883199475a9e8,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,378.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,b1ebb2fccd7041f69061d51da5dca3c5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,38f4cdc2382e44be81a64f7fa06e51bc,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,4dfd0d8c8e0c404eb249a6de70d4148f,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,2cacbe1a06904fa0b767086aa31880c6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,285856e4492348cb8daf0f10e6a7071f,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,9e45ba62644a4fba89a0fb1f1db2d9c2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,285856e4492348cb8daf0f10e6a7071f,SPY,buy,market,fill,1,day,0.0,1,stock,306.1600036621094,628.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,9e45ba62644a4fba89a0fb1f1db2d9c2,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,580.0,0.0
2020-08-10 08:30:00-04:00,MLTrader,17fab65708394206b06ec510f5a6cae0,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-08-10 08:30:00-04:00,MLTrader,642f88ac70154ea58364ee24c65019b5,SPY,sell,limit,fill,1,day,0.0,1,stock,336.8500061035156,580.0,0.0
2020-09-14 09:30:00-04:00,MLTrader,a3a622f865d84cb39160e91aa23eccc6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,a3a622f865d84cb39160e91aa23eccc6,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.1199951171875,265.0,0.0
2020-09-15 09:30:00-04:00,MLTrader,a872b937fdce42778da2ceba22aaea28,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTrader,a872b937fdce42778da2ceba22aaea28,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.510009765625,397.0,0.0
2020-11-09 08:30:00-05:00,MLTrader,23793f74939b4c83bdf889334689cb52,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-11-09 08:30:00-05:00,MLTrader,38be6262a5c247ceb3497a130733243a,SPY,buy,stop,fill,1,day,0.0,1,stock,363.9700012207031,265.0,0.0
2020-11-09 08:30:00-05:00,MLTrader,f30df4e3700c45c89ef5df9652109cb4,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-11-09 08:30:00-05:00,MLTrader,aa60ec2fe14042cd844bba6e97c4ec88,SPY,buy,stop,fill,1,day,0.0,1,stock,363.9700012207031,397.0,0.0
